"NOMBRE_EST","NIVMOD","NIVELMODAL","TIPEST","COMUNA","ESTADO","POINT_X","POINT_Y","nivel","long","lat","niv","num_niv","geometry"
"Jardín de Infantes Común N° 03/19°","IniCom","Nivel Inicial Común","Jardín de Infantes Común",8,"1",101764.9372,95947.2872,"Inicial Común",-58.444044380041,-34.6658012105819,"Inicial",1,c(-58.444044380041, -34.6658012105819)
"Inst. Ntra. Sra. del Buen y Perpetuo Socorro","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",10,"1",95305.2511,99942.0105,"Inicial, Primario y Secundario Común",-58.5144981265608,-34.6297817676883,"Inicial a Secundario",3,c(-58.5144981265608, -34.6297817676883)
"Centro Educativo de Nivel Secundario N° 60","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",1,"1",108174.4585,101135.8375,"Secundario de Jóvenes y Adultos",-58.3741652987487,-34.6189990122597,"Secundario",1,c(-58.3741652987487, -34.6189990122597)
"Jardín de Infantes Integral Nº 12/09º","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",13,"1",101940.3671,106288.5878,"Inicial Común",-58.4421533995446,-34.5725802700293,"Inicial",1,c(-58.4421533995446, -34.5725802700293)
"Esc. Primaria Común N° 24 Presidente Derqui","PriCom","Nivel Primario Común","Escuela de Jornada Simple",4,"1",108029.8811,98008.52,"Primario Común",-58.3757123490501,-34.6471909457825,"Primario",1,c(-58.3757123490501, -34.6471909457825)
"Inst. Ntra. Sra. de los Milagros de Caacupé (sede)","SecAdu","Nivel Secundario de Jóvenes y Adultos","Instituto Educativo Incorporado a la Enseñanza Oficial",4,"1",106100.8832,97015.6235,"Secundario de Jóvenes y Adultos",-58.3967461995485,-34.6561544539361,"Secundario",1,c(-58.3967461995485, -34.6561544539361)
"ESEA en Danza Ramicone Curso Vocacional de Folklore N° 20","OSECom","Otros Servicios Educativos de la modalidad Común","Escuela Superior de Educación Artística",10,"1",99090.1385,99304.8661,"Otros Servicios Educativos de la modalidad Común",-58.4732230146581,-34.6355357750569,"Otros",1,c(-58.4732230146581, -34.6355357750569)
"Inst. Toratenu","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",3,"1",104989.8718,103193.1431,"Inicial, Primario y Secundario Común",-58.408902048682,-34.6004738715542,"Inicial a Secundario",3,c(-58.408902048682, -34.6004738715542)
"Inst. Privado del Sindicato GBA de Obras Sanitarias","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",3,"1",106186.1419,103220.4791,"Inicial Común",-58.3958609932895,-34.6002210066114,"Inicial",1,c(-58.3958609932895, -34.6002210066114)
"Esc. Primaria Común N° 10 Juan Andres de la Peña","PriCom","Nivel Primario Común","Escuela de Jornada Completa",4,"1",103627.9877,98167.7012,"Primario Común",-58.423727589554,-34.6457808268082,"Primario",1,c(-58.423727589554, -34.6457808268082)
"Jardín de Infantes Nucleado B (EPCjs 07/12°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",11,"1",98281.2666,101918.8406,"Inicial Común",-58.4820392553349,-34.6119712974451,"Inicial",1,c(-58.4820392553349, -34.6119712974451)
"Esc. Primaria p/Adultos N° 14 Juan Martin de Pueyrredón","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",3,"1",105323.1495,102935.5218,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4052671909015,-34.6027945230258,"Primario",1,c(-58.4052671909015, -34.6027945230258)
"Esc. Primaria Común N° 02 Maestro Eduardo Luis Vicente","PriCom","Nivel Primario Común","Escuela de Jornada Completa",8,"1",100416.8766,93787.9355,"Primario Común",-58.4587510018716,-34.6852676577544,"Primario",1,c(-58.4587510018716, -34.6852676577544)
"Centro Educativo de Nivel Secundario N° 08 Dr. Luis Federico Leloir","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",1,"1",108338.0827,102974.3943,"Secundario de Jóvenes y Adultos",-58.3723990854815,-34.6024242122311,"Secundario",1,c(-58.3723990854815, -34.6024242122311)
"Centro Educativo de Nivel Secundario N° 313","SecAdu","Nivel Secundario de Jóvenes y Adultos","No Corresponde - Gob Nac",1,"1",108628.6617,103958.0152,"Secundario de Jóvenes y Adultos",-58.3692411709535,-34.5935550536838,"Secundario",1,c(-58.3692411709535, -34.5935550536838)
"Escuela Libre Micael","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",11,"1",98247.4545,101342.1408,"Inicial y Primario Común",-58.4824091408626,-34.6171698457987,"Inicial a Primario",2,c(-58.4824091408626, -34.6171698457987)
"Centro Educativo de Nivel Primario N° 02","PriAdu","Nivel Primario de Jóvenes y Adultos","Centro Educativo de Nivel Primario",8,"1",97330.8552,95163.3792,"Primario de Jóvenes y Adultos",-58.4924234103656,-34.6728654178119,"Primario",1,c(-58.4924234103656, -34.6728654178119)
"Jardín de Infantes Integral N° 01/03°","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",1,"1",106883.0282,100891.5027,"Inicial Común",-58.3882451049191,-34.6212109491481,"Inicial",1,c(-58.3882451049191, -34.6212109491481)
"Tierra Fertil","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",2,"1",105207.3923,104271.5434,"Inicial Común",-58.4065372709324,-34.5907516364937,"Inicial",1,c(-58.4065372709324, -34.5907516364937)
"UGEE N° 09 Bachillerato Popular de Adultos y Adolescentes Casa Abierta","SecAdu","Nivel Secundario de Jóvenes y Adultos","Unidad de Gestión Educativa Experimental",1,"1",106790.8732,105465.7038,"Secundario de Jóvenes y Adultos",-58.3892862828352,-34.5799777798707,"Secundario",1,c(-58.3892862828352, -34.5799777798707)
"Centro de Actividades Infantiles y Juveniles Club Centro","OSECom","Otros Servicios Educativos de la modalidad Común","Centro de Actividades Infantiles y Juveniles",3,"1",106463.6463,103061.5235,"Otros Servicios Educativos de la modalidad Común",-58.3928345622051,-34.6016522048688,"Otros",1,c(-58.3928345622051, -34.6016522048688)
"Jardín de Infantes Nucleado B (EPCjc 23/14°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",15,"1",100572.2763,103387.7111,"Inicial Común",-58.4570610317301,-34.5987316809835,"Inicial",1,c(-58.4570610317301, -34.5987316809835)
"Esc. Integral Interdisciplinaria N° 18","PriEsp - OSEEsp","Nivel Primario Especial - Otros Servicios Educativos de la modalidad Especial","Escuela de Integración Interdisciplinaria",10,"1",96953.2505,100816.9214,"Primario Especial",-58.4965227812561,-34.6219012873691,"Primario",1,c(-58.4965227812561, -34.6219012873691)
"Jardín de Infantes Común N° 03/01°","IniCom","Nivel Inicial Común","Jardín de Infantes Común",14,"1",105002.2367,104837.4921,"Inicial Común",-58.4087768299579,-34.5856509325064,"Inicial",1,c(-58.4087768299579, -34.5856509325064)
"Inst. San José de Flores","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",7,"1",100103.5273,99632.6872,"Inicial, Primario y Secundario Común",-58.462170825308,-34.6325811239616,"Inicial a Secundario",3,c(-58.462170825308, -34.6325811239616)
"Centro de Alfabetización, Educación Básica y Trabajo N° 37 Club Cárdenas","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",9,"1",96594.4375,95491.5455,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.5004571775187,-34.6699049969643,"Primario",1,c(-58.5004571775187, -34.6699049969643)
"Esc. Primaria p/Adultos N° 15 República Oriental del Uruguay","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",7,"1",100724.1274,99924.7833,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4554029149136,-34.6299478404431,"Primario",1,c(-58.4554029149136, -34.6299478404431)
"Colegio Rey Fahd","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",14,"1",103482.4368,106131.6409,"Inicial Común",-58.4253473556986,-34.5739910772144,"Inicial",1,c(-58.4253473556986, -34.5739910772144)
"Inst. Nuestro Tiempo","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",5,"1",104230.2562,102176.2138,"Superior No Universitario Común",-58.4171780704186,-34.6096442692408,"Superior",1,c(-58.4171780704186, -34.6096442692408)
"Esc. de Comercio N° 32 José León Suarez (anexo)","SecCom","Nivel Secundario Común","Escuela de Comercio",9,"1",95614.6728,98104.9354,"Secundario Común",-58.5111333757479,-34.6463432298526,"Secundario",1,c(-58.5111333757479, -34.6463432298526)
"Esc. Primaria Común N° 10 Ing. Octavio S. Pico","PriCom","Nivel Primario Común","Escuela de Jornada Completa",7,"1",99790.1158,99143.8402,"Primario Común",-58.4655889814317,-34.6369877428932,"Primario",1,c(-58.4655889814317, -34.6369877428932)
"Esc. Primaria p/Adultos N° 16 Ejército de Los Andes","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",12,"1",98412.4227,105704.7492,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4806019239417,-34.5778436801479,"Primario",1,c(-58.4806019239417, -34.5778436801479)
"Jardín de Infantes Nucleado B (EPCjs 15/03°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",3,"1",105804.076,101445.5354,"Inicial Común",-58.4000140845595,-34.6162232918971,"Inicial",1,c(-58.4000140845595, -34.6162232918971)
"Esc. Primaria Común N° 22 Dr. Rómulo S. Naón","PriCom","Nivel Primario Común","Escuela de Jornada Simple",15,"1",102218.2282,103131.6477,"Primario Común",-58.4391172422212,-34.6010377980541,"Primario",1,c(-58.4391172422212, -34.6010377980541)
"Esc. Superior de Enfermería Dra. Cecilia Grierson sede","SNUCom - OSEAdu","Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Instituto de Educación Superior (Formación Técnica)",6,"1",102321.1791,102018.6687,"Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4379919333519,-34.611070436571,"Superior",1,c(-58.4379919333519, -34.611070436571)
"Jardín de Infantes Nucleado A (EPCjs 07/05°) (Sede)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",4,"1",108105.9725,100226.4664,"Inicial Común",-58.3749034376681,-34.6271969735118,"Inicial",1,c(-58.3749034376681, -34.6271969735118)
"Esc. Primaria Común N° 01 Concejal Alberto Salvatori","PriCom","Nivel Primario Común","Escuela de Jornada Completa",8,"1",99624.0885,93707.1807,"Primario Común",-58.4674025055816,-34.6859955792863,"Primario",1,c(-58.4674025055816, -34.6859955792863)
"Esc. Primaria Común N° 03 Primera Junta","PriCom","Nivel Primario Común","Escuela de Jornada Simple",6,"1",102732.1487,101516.6628,"Primario Común",-58.4335095536775,-34.6155947334972,"Primario",1,c(-58.4335095536775, -34.6155947334972)
"Ciclo Básico de Formación Ocupacional N° 02 Salvador Maza","SecAdu","Nivel Secundario de Jóvenes y Adultos","Ciclo Básico de Formación Ocupacional",10,"1",93977.3188,100835.046,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.5289733957654,-34.6217245914079,"Secundario",1,c(-58.5289733957654, -34.6217245914079)
"Colegio N° 18 Dr. Alberto Larroque","SecCom","Nivel Secundario Común","Colegio",10,"1",97786.2578,100161.8367,"Secundario Común",-58.4874410874275,-34.6278086583641,"Secundario",1,c(-58.4874410874275, -34.6278086583641)
"Centro de Formación Profesional N° 40","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional",9,"1",98837.7907,96681.1746,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.4759789373204,-34.6591864059464,"Otros",1,c(-58.4759789373204, -34.6591864059464)
